,FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,Location,Census Tracts 2010,2011 Supervisorial District Boundaries (Official),Board Approved Statistical Areas,Zip Codes
33003,FA0070749,SOUTHWEST PETROLEUM #9647,PR0034817,SOUTHWEST PETROLEUM #9647,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5038 W EL SEGUNDO BLVD,HAWTHORNE,CA,90250,33.91620373,-118.3669149,OW0033741,"SOUTHWEST PETROLEUM, LLC",5038  W EL SEGUNDO BLVD,HAWTHORNE,CA,90250,"(33.9162037262, -118.3669148903)",745.0,2.0,284.0,24687.0
12172,FA0251063,GARAGE KITCHEN,PR0200167,GARAGE KITCHEN,1632,RESTAURANT (0-30) SEATS HIGH RISK,140 W VALLEY BLVD STE 108,SAN GABRIEL,CA,91776,34.07779958,-118.1008611,OW0245022,GARAGE KITCHEN INC,123 N LINCOLN AVE,MONTEREY PARK,CA,91755,"(34.0777995834, -118.1008611304)",1768.0,5.0,38.0,10137.0
5192,FA0071194,SUBWAY #52104,PR0010069,SUBWAY #52104,1631,RESTAURANT (0-30) SEATS MODERATE RISK,3183 WILSHIRE BLVD STE 184,LOS ANGELES,CA,90010,34.06196518,-118.2911106,OW0005591,C G INVESTMENTS INC,7755   HASKELL AVE,VAN NUYS,CA,91406,"(34.0619651809, -118.291110556)",1583.0,2.0,61.0,22726.0
32511,FA0203645,SODEXO @ THE HOLLYWOOD BOWL,PR0176049,SODEXO @ THE HOLLYWOOD BOWL - HOLLYWOOD BOWL MAIN KITCHEN,1632,RESTAURANT (0-30) SEATS HIGH RISK,2301 N HIGHLAND AVE,LOS ANGELES,CA,90068,34.11112592,-118.336302,OW0208794,"SODEXO AMERICA, LLC",2301 N HIGHLAND AVE,LOS ANGELES,CA,90068,"(34.1111259171, -118.3363019582)",1385.0,3.0,360.0,24033.0
7813,FA0016563,COST BARGAIN CO,PR0011100,COST BARGAIN CO,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2061 S GAREY AVE,POMONA,CA,91766,34.03403931,-117.75061640000001,OW0008871,COST BARGAIN COMPANY INC,2061  S GAREY AVE,POMONA,CA,91766,"(34.0340393143, -117.7506163798)",2200.0,1.0,83.0,10125.0
21440,FA0245769,DIY HOME CENTER,PR0194147,DIY HOME CENTER,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6300 FOOTHILL BLVD,TUJUNGA,CA,91042,34.24182654,-118.2684551,OW0240755,LUMBER CITY CORP.,20525 NORDHOFF ST STE 210,CHATSWORTH,CA,91311,"(34.2418265377, -118.2684550741)",1568.0,5.0,423.0,3222.0
32912,FA0044154,PIZZA HUT #24931,PR0005058,PIZZA HUT # 024931,1631,RESTAURANT (0-30) SEATS MODERATE RISK,23301 S MAIN ST,CARSON,CA,90745,33.81366266,-118.2759416,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,P.O. BOX 782110,WICHITA,KS,67278,"(33.813662661, -118.2759416291)",73.0,2.0,297.0,3354.0
20609,FA0073851,WEST 4TH / JANE,PR0003173,WEST 4TH / JANE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1432 4TH ST # A,SANTA&#160;MONICA,CA,90401,34.01556462,-118.49422630000001,OW0021726,LIEBERMAN STEVEN A,1432   4TH ST #A,SANTA&#160;MONICA,CA,90401,"(34.0155646175, -118.4942263008)",372.0,3.0,93.0,25426.0
7751,FA0137804,MUNDO SALUDABLE,PR0121945,MUNDO SALUDABLE,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",15415 FAIRGROVE AVE,LA PUENTE,CA,91744,34.04221984,-117.94911299999998,OW0101064,"CORNEJO, JOSE G.",1570 N HIBISCUS AVE,AZUSA,CA,91702,"(34.0422198365, -117.9491130169)",1906.0,1.0,15.0,9324.0
31228,FA0260069,CHATEAU HANARE,PR0210408,CHATEAU HANARE,1635,RESTAURANT (31-60) SEATS HIGH RISK,8097 SELMA AVE,LOS ANGELES,CA,90046,34.09808127,-118.36681609999998,OW0251949,SELMA AVE INC.,8097 SELMA AVE,LOS ANGELES,CA,90046,"(34.098081266, -118.3668161215)",1436.0,3.0,359.0,23677.0
36230,FA0053923,VONS STORE MARKET,PR0044252,VONS STORE MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",710 BROADWAY,SANTA&#160;MONICA,CA,90401,34.01739686,-118.49051429999999,OW0038181,THE VONS COMPANIES INC.,PO BOX 29096,PHOENIX,AZ,85038,"(34.017396859, -118.490514299)",372.0,3.0,93.0,25426.0
32025,FA0026036,GOLDEN INDIAN GRILL,PR0025454,GOLDEN INDIAN GRILL,1632,RESTAURANT (0-30) SEATS HIGH RISK,5954 W PICO BLVD,LOS ANGELES,CA,90035,34.05185942,-118.3691322,OW0033072,"SINGH, NIHAL",5954  W PICO BLVD.,LOS ANGELES,CA,90035,"(34.0518594159, -118.3691321782)",1219.0,2.0,341.0,23666.0
21758,FA0061187,DURANGO RESTAURANT,PR0022486,DURANGO MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",11227 S FIGUEROA ST,LOS ANGELES,CA,90061,33.93213039,-118.28278619999999,OW0022845,"MAGDALENO, RAFAEL",11227  S FIGUEROA ST,LOS ANGELES,CA,90061,"(33.9321303912, -118.2827861721)",1020.0,2.0,357.0,23675.0
35730,FA0259339,THE BUTLER'S KITCHEN,PR0209519,THE BUTLER'S KITCHEN,1631,RESTAURANT (0-30) SEATS MODERATE RISK,5616 E BEVERLY BLVD,LOS ANGELES,CA,90022-2804,34.02790237,-118.1467257,OW0251351,THE BUTLER'S KITCHEN,P. O. BOX 933,WOODLAND HILLS,CA,91365,"(34.0279023677, -118.1467257161)",2017.0,1.0,162.0,23440.0
8444,FA0031857,"KAVKAZ, CAFE RESTAURANT",PR0043102,"KAVKAZ, CAFE RESTAURANT",1632,RESTAURANT (0-30) SEATS HIGH RISK,5341 SANTA&#160;MONICA BLVD,LOS ANGELES,CA,90029,34.09108246,-118.3058793,OW0009417,DANIELIAN VANIK J,5341   SANTA&#160;MONICA BLVD,LOS ANGELES,CA,90029,"(34.0910824593, -118.3058793136)",1638.0,3.0,380.0,23447.0
19946,FA0224982,DONUT STAR,PR0180278,DONUT STAR,1631,RESTAURANT (0-30) SEATS MODERATE RISK,4102 VERDUGO RD,LOS ANGELES,CA,90065,34.12513222,-118.2317125,OW0229447,LCCS CORP,4102 VERDUGO RD,LOS ANGELES,CA,90065,"(34.125132215, -118.2317124868)",1380.0,1.0,361.0,24030.0
37532,FA0245977,UNITED HOUSE OF PRAYER,PR0194371,UNITED HOUSE OF PRAYER,1635,RESTAURANT (31-60) SEATS HIGH RISK,1029 E VERNON AVE,LOS ANGELES,CA,90011,34.00395859,-118.25751890000001,OW0240936,"UNITED HOUSE OF PRAYER, INC",1029 E VERNON AVE,LOS ANGELES,CA,90011,"(34.0039585877, -118.2575188711)",1047.0,2.0,424.0,22727.0
22926,FA0038649,MCDONALD'S # 7820,PR0028343,MCDONALD'S RESTAURANT M7820,1640,RESTAURANT (151 + ) SEATS MODERATE RISK,19009 HAWTHORNE BLVD,TORRANCE,CA,90503,33.85789912,-118.3544254,OW0023944,MCDONALD'S CORPORATION,PO BOX 183090,COLUMBUS,OH,43218,"(33.8578991234, -118.3544254068)",791.0,4.0,102.0,25717.0
27204,FA0269030,PHO CAFE PLUS,PR0221351,PHO CAFE PLUS,1635,RESTAURANT (31-60) SEATS HIGH RISK,705 S WESTERN AVE,LOS ANGELES,CA,90005-3113,34.05933344,-118.3091479,OW0259302,"PHO CAFE PLUS, INC.",705 S WESTERN AVE,LOS ANGELES,CA,90005-3113,"(34.059333436, -118.309147936)",1001.0,2.0,372.0,22722.0
31959,FA0073162,USA DONUT,PR0013507,USA DONUT,1631,RESTAURANT (0-30) SEATS MODERATE RISK,7455 LANKERSHIM BLVD STE #A,NORTH HOLLYWOOD,CA,91605,34.206371000000004,-118.38781270000001,OW0032972,SIN PROS JOHN,7455   LANKERSHIM BLVD #A,NORTH HOLLYWOOD,CA,91605,"(34.2063710016, -118.3878127202)",1383.0,3.0,394.0,8888.0
24535,FA0038729,TROJANS LIQUOR,PR0041309,TROJANS LIQUOR,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",3000 S VERMONT AVE,LOS ANGELES,CA,90007,34.02727343,-118.29134040000001,OW0025585,NAM'S LIQUOR INC,3000  S VERMONT AVE,LOS ANGELES,CA,90007,"(34.0272734295, -118.2913403678)",725.0,2.0,427.0,22724.0
19433,FA0142120,RIMGROVE PARK CONCESSION,PR0129395,RIMGROVE PARK CONCESSION,1630,RESTAURANT (0-30) SEATS LOW RISK,747 RIMGROVE DR,LA PUENTE,CA,91744-3347,34.03090127,-117.92030120000001,OW0105306,LA COUNTY PARK & RECREATION,747 RIMGROVE DR,LA PUENTE,CA,91744-3347,"(34.0309012731, -117.9203011816)",2219.0,1.0,273.0,9324.0
17137,FA0160891,JERSEY MIKE'S SUBS,PR0148984,JERSEY MIKE'S SUBS,1634,RESTAURANT (31-60) SEATS MODERATE RISK,16350 VENTURA BLVD #C,ENCINO,CA,91436,34.1570631,-118.48903349999999,OW0125825,"JMZ N JILL, INC",16350 VENTURA BLVD #C,ENCINO,CA,91436,"(34.1570630975, -118.4890334966)",598.0,3.0,26.0,19737.0
26103,FA0024305,MCDONALD'S #942,PR0014542,MCDONALD'S #942,1637,RESTAURANT (61-150) SEATS MODERATE RISK,716 FAIR OAKS AVE,SOUTH PASADENA,CA,91030,34.11742101,-118.14990209999999,OW0027092,P. R. PERNECKY MANAGEMENT,980 S ARROYO PKWY STE 220,PASADENA,CA,91105,"(34.1174210073, -118.1499020636)",1839.0,5.0,92.0,3220.0
33878,FA0071034,STATER BROS #164,PR0047829,STATER BROS MRKT #164 MEAT,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",17220 S LAKEWOOD BLVD,BELLFLOWER,CA,90706,33.87573938,-118.1408279,OW0033964,STATER BROS. MARKETS INC.,PO BOX 150,SAN BERNARDINO,CA,92402,"(33.8757393842, -118.1408279192)",2069.0,4.0,291.0,26326.0
39053,FA0257548,"WESTERN REFINING RETAIL, LLC STORE #68101",PR0207477,"WESTERN REFINING RETAIL, LLC STORE #68101",1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",5000 KANAN RD,AGOURA HILLS,CA,91301,34.14401028,-118.7615606,OW0248900,WESTERN REFINING RETAIL LLC,19100 RIDGEWOOD PKWY,SAN ANTONIO,TX,78259-1834,"(34.1440102775, -118.7615605893)",360.0,3.0,1.0,4276.0
33799,FA0266707,STARBUCKS - # 50498,PR0218053,STARBUCKS - # 50498,1630,RESTAURANT (0-30) SEATS LOW RISK,230 S ALVARADO ST,LOS ANGELES,CA,90057-2306,34.06344101,-118.2723148,OW0033938,STARBUCKS COFFEE CORPORATION,P.O. BOX 34442-TAX 2,SEATTLE,WA,98124,"(34.0634410126, -118.2723147634)",1645.0,1.0,411.0,24352.0
37183,FA0029963,JACK IN THE BOX # 292,PR0030705,JACK IN THE BOX,1634,RESTAURANT (31-60) SEATS MODERATE RISK,4210 S CRENSHAW BLVD,LOS ANGELES,CA,90008,34.0079689,-118.33485359999999,OW0036556,TRI-P'S CORPORATION,5218   SENFORD AVE.,LOS ANGELES,CA,90056,"(34.007968897, -118.3348535727)",858.0,2.0,377.0,22725.0
3606,FA0008873,BELLAJ RESTAURANT & BANQUET,PR0027218,BELLAJ RESTAURANT & BANQUET,1641,RESTAURANT (151 + ) SEATS HIGH RISK,3415 W VICTORY BLVD,BURBANK,CA,91505,34.18483967,-118.34818179999999,OW0004305,BELLAJ INC,3415  W VICTORY BLVD,BURBANK,CA,91505,"(34.1848396745, -118.3481818386)",1631.0,5.0,295.0,20150.0
2561,FA0252720,BRENNAN'S,PR0202060,BRENNAN'S,1638,RESTAURANT (61-150) SEATS HIGH RISK,4089 LINCOLN BLVD,MARINA DEL REY,CA,90292,33.98828945,-118.445792,OW0242245,ARTISANAL BREWERS COLLECTIVE LLC,8990 CLAYBECK AVE,SUN VALLEY,CA,91352,"(33.9882894493, -118.4457920378)",585.0,2.0,432.0,25074.0
29960,FA0261077,K AND K DONUTS,PR0211550,K AND K DONUTS,1631,RESTAURANT (0-30) SEATS MODERATE RISK,2101 W SUNSET BLVD,LOS ANGELES,CA,90026,34.07761324,-118.2636686,OW0252759,ROTHA KHEANG,2101 W SUNSET BLVD,LOS ANGELES,CA,90026,"(34.0776132418, -118.2636685629)",1472.0,1.0,416.0,23444.0
32397,FA0060745,DEL TACO # 718,PR0006082,DEL TACO,1634,RESTAURANT (31-60) SEATS MODERATE RISK,11344 TELEGRAPH RD,SANTA FE SPRINGS,CA,90670,33.94890356,-118.091007,OW0101560,SOCAL DEL LLC,5 1/2 E STATE ST #F,REDLANDS,CA,92373,"(33.9489035552, -118.0910070092)",1911.0,4.0,91.0,25736.0
39539,FA0066771,MEL & LEO'S LIQUOR,PR0003418,MEL & LEO'S LIQUOR,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",14245 S HAWTHORNE BLVD,HAWTHORNE,CA,90250,33.90216833,-118.3530712,OW0039139,"WON, YOUNG AE",14245  S HAWTHORNE BLVD,HAWTHORNE,CA,90250,"(33.9021683306, -118.3530712098)",897.0,2.0,10.0,24687.0
431,FA0004160,99 CENTS ONLY STORE #054,PR0017252,99 CENTS ONLY STORE #054,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",6401 SAN FERNANDO RD,GLENDALE,CA,91201,34.16596561,-118.2887834,OW0001414,"99 CENT ONLY STORES, LLC",4000 E UNION PACIFIC AVE,COMMERCE,CA,90023-3202,"(34.1659656111, -118.2887834434)",1591.0,5.0,305.0,3626.0
36842,FA0051776,THE COFFEE CARTEL,PR0029088,THE COFFEE CARTEL,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1820 S CATALINA AVE,REDONDO BEACH,CA,90277,33.81705758,-118.3873216,OW0036144,"TOM, DOUGLAS K",1820  S CATALINA AVE,REDONDO BEACH,CA,90277,"(33.8170575816, -118.3873216021)",644.0,4.0,85.0,25069.0
16926,FA0023057,LUCKY WOK,PR0018656,LUCKY WOK,1632,RESTAURANT (0-30) SEATS HIGH RISK,8527 E ALONDRA BLVD STE 172,PARAMOUNT,CA,90723,33.88937334,-118.15074440000001,OW0017631,JIAO CHUN XIANG,8527  E ALONDRA BLVD 172,PARAMOUNT,CA,90723,"(33.8893733401, -118.1507444035)",2121.0,4.0,80.0,3339.0
9287,FA0019102,DOLLAR TREE #4243,PR0023628,DOLLAR TREE,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",6540 FOOTHILL BLVD,TUJUNGA,CA,91042,34.24526219,-118.27502,OW0010221,"DOLLAR TREE STORES, INC",500 VOLVO PKWY,CHESAPEAKE,VA,23320,"(34.2452621915, -118.2750200019)",1568.0,5.0,423.0,3222.0
34246,FA0062627,GENERAL NUTRITION CENTER6825,PR0011038,GENERAL NUTRITION CENTER6825,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5001 WILSHIRE BLVD,LOS ANGELES,CA,90036,34.0622924,-118.3390847,OW0034347,SUNLIGHT HEALTH AND NUTRITIO,5001   WILSHIRE BLVD #110,LOS ANGELES,CA,90036,"(34.0622923961, -118.3390846886)",1529.0,3.0,366.0,23667.0
16277,FA0224460,WAFFLEJACK,PR0179677,WAFFLEJACK,1631,RESTAURANT (0-30) SEATS MODERATE RISK,6801 HOLLYWOOD BLVD # 307,LOS ANGELES,CA,90028-6143,34.10157786,-118.33950949999999,OW0228931,"J & J HOSPITALITY,  LLC",1600 WILSHIRE BLVD STE 300,LOS ANGELES,CA,90017-1639,"(34.1015778644, -118.3395095063)",1405.0,3.0,359.0,23446.0
34105,FA0035013,SUGAR BABIES CUPCAKERY,PR0040821,SUGAR BABIES CUPCAKERY,1630,RESTAURANT (0-30) SEATS LOW RISK,4810 FULTON AVE,SHERMAN OAKS,CA,91423,34.15809311,-118.422329,OW0034175,SUGAR BABIES CUPCAKERY LLC,4810   FULTON AVE.,SHERMAN OAKS,CA,91423,"(34.1580931092, -118.4223289675)",1561.0,3.0,44.0,19736.0
11032,FA0139077,THE FLAME BROILER,PR0123459,THE FLAME BROILER RESTAURANT,1632,RESTAURANT (0-30) SEATS HIGH RISK,659 S FLOWER ST,LOS ANGELES,CA,90017-2805,34.04906799,-118.2587035,OW0102337,"FB DTLA,LLC",659 S FLOWER ST,LOS ANGELES,CA,90017-2805,"(34.0490679863, -118.2587034718)",709.0,1.0,343.0,23078.0
34380,FA0049846,SUPERIOR GROCERS #106,PR0010232,SUPERIOR GROCERS #106 TORTIL,1630,RESTAURANT (0-30) SEATS LOW RISK,1201 W WHITTIER BLVD,MONTEBELLO,CA,90640,34.01093122,-118.11296229999999,OW0034460,"SUPER CENTER CONCEPTS, INC",15510 CARMENTIA RD,SANTA FE SPRINGS,CA,90670,"(34.0109312192, -118.1129623388)",2018.0,1.0,74.0,25733.0
19482,FA0011218,DIPPIN' DOTS,PR0000832,DIPPIN' DOTS,1633,RESTAURANT (31-60) SEATS LOW RISK,400 S BALDWIN AVE STE 728L,ARCADIA,CA,91007,34.13287984,-118.0516815,OW0020390,LA H & E INVESTMENT. INC.,400 S BALDWIN AVE STE 728L,ARCADIA,CA,91007,"(34.1328798417, -118.0516815153)",1818.0,5.0,285.0,2447.0
1844,FA0033833,L K MARKET,PR0043664,L K MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2127 MAIN ST,SANTA&#160;MONICA,CA,90405,34.00627479999999,-118.48777350000002,OW0002584,"AMIN,ABDUL",2127   MAIN STREET,SANTA&#160;MONICA,CA,90405,"(34.0062747953, -118.4877734789)",370.0,3.0,93.0,25714.0
9552,FA0065094,LA CITA,PR0015025,LA CITA,1636,RESTAURANT (61-150) SEATS LOW RISK,336 S HILL ST,LOS ANGELES,CA,90013,34.05075291,-118.24973059999999,OW0010393,DPC LA CORP,336  S HILL ST,LOS ANGELES,CA,90013,"(34.0507529061, -118.249730587)",656.0,1.0,343.0,23074.0
35437,FA0266844,TEA SPOTS,PR0218209,TEA SPOTS,1632,RESTAURANT (0-30) SEATS HIGH RISK,2540 S AZUSA AVE,WEST COVINA,CA,91792,34.02966422,-117.9154555,OW0257534,TEA SPOTS GROUP,1241 CENTER COURT DR,COVINA,CA,91724,"(34.0296642162, -117.9154555391)",2256.0,1.0,105.0,10148.0
29555,FA0171302,ROCIO'S MEXICAN KITCHEN,PR0161359,ROCIO'S MEXICAN KITCHEN,1632,RESTAURANT (0-30) SEATS HIGH RISK,7891 GARFIELD AVE,BELL GARDENS,CA,90201,33.96010011,-118.1563669,OW0178395,ROCIO'S MEXICAN KITC CAMACHO-CRUZ,7891 GARFIELD AVE,BELL GARDENS,CA,90201,"(33.9601001086, -118.1563669234)",1947.0,1.0,290.0,24345.0
29993,FA0069833,ROYAL FISH MARKET,PR0017080,ROYAL FISH MARKET,1632,RESTAURANT (0-30) SEATS HIGH RISK,4166 S BROADWAY,LOS ANGELES,CA,90037,34.00768159,-118.2781886,OW0030864,ROYAL FISH MARKET INC.,4166  S BROADWAY BLVD.,LOS ANGELES,CA,90037,"(34.0076815857, -118.2781886436)",834.0,2.0,400.0,23668.0
28114,FA0045543,R & R MANAGEMENT,PR0006718,R & R MANAGEMENT,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",525 N ATLANTIC BLVD,ALHAMBRA,CA,91801,34.09849274,-118.1350054,OW0029304,R & R MANAGEMENT,525  N ATLANTIC BLVD.,ALHAMBRA,CA,91801,"(34.098492741, -118.1350054275)",1745.0,5.0,2.0,10151.0
15,FA0002658,101 NOODLE EXPRESS,PR0042022,101 NOODLE EXPRESS CORPORATI,1635,RESTAURANT (31-60) SEATS HIGH RISK,6000 SEPULVEDA BLVD STE #3220,CULVER CITY,CA,90230,33.98536526,-118.39568200000001,OW0000030,101 NOODLE EXPRESS CORP,6000   SEPULVEDA BLVD #3220,CULVER CITY,CA,90230,"(33.9853652636, -118.3956819608)",845.0,2.0,9.0,24678.0
27712,FA0027743,PANN'S COFFEE SHOP,PR0000357,PANN'S COFFEE SHOP,1638,RESTAURANT (61-150) SEATS HIGH RISK,6710 LA TIJERA BLVD,LOS ANGELES,CA,90045,33.97802727,-118.370717,OW0028903,POULOS CORPORATION,6710   LA TIJERA BL,LOS ANGELES,CA,90045,"(33.9780272696, -118.3707169638)",1232.0,2.0,440.0,23676.0
12313,FA0010464,CVS/PHARMACY #9677,PR0020772,CVS PHARMACY # 9677,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",17320 VENTURA BLVD,ENCINO,CA,91316,34.160782399999995,-118.5106886,OW0012926,"GARFIELD BEACH CVS, LLC.",1 CVS DR MC# 1160,WOONSOCKET,RI,2895,"(34.160782395, -118.5106886345)",474.0,3.0,26.0,4286.0
11631,FA0015807,GRILL CITY-SEAFOOD CITY,PR0034779,GRILL CITY-SEAFOOD CITY,1632,RESTAURANT (0-30) SEATS HIGH RISK,16130 NORDHOFF ST # #F,NORTH HILLS,CA,91343,34.23559326,-118.48394009999998,OW0012191,FORTUNE FOOD INC,2883 SURVEYOR ST,POMONA,CA,91768,"(34.2355932628, -118.4839401142)",509.0,3.0,391.0,18914.0
13783,FA0009178,BEST DONUTS,PR0009016,BEST DONUTS,1631,RESTAURANT (0-30) SEATS MODERATE RISK,2514 PACIFIC COAST HWY,HERMOSA BEACH,CA,90254,33.87243557,-118.3950697,OW0014286,"GUOV, HENRY CHEA",2514   PACIFIC COAST HWY,HERMOSA BEACH,CA,90254,"(33.8724355734, -118.3950697063)",1174.0,4.0,310.0,24688.0
10119,FA0269264,PHO FILET,PR0221642,PHO FILET,1635,RESTAURANT (31-60) SEATS HIGH RISK,9463 GARVEY AVE STE A,SOUTH EL MONTE,CA,91733,34.06279589,-118.06369280000001,OW0259486,EL MONTE NOODLE  INC,9463 GARVEY AVE STE A,SOUTH EL MONTE,CA,91733,"(34.0627958876, -118.0636928464)",1829.0,1.0,99.0,9314.0
1306,FA0005719,ALDA LIQUOR INC,PR0028913,ALDA LIQUOR INC,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",16151 ROSCOE BLVD,NORTH HILLS,CA,91343,34.22148795,-118.48458290000002,OW0002052,ALDA LIQUOR INC,16151   ROSCOE BLVD,NORTH HILLS,CA,91343,"(34.2214879533, -118.4845828693)",509.0,3.0,391.0,18914.0
9832,FA0171493,HONGKONG EXPRESS,PR0163892,HONGKONG EXPRESS,1632,RESTAURANT (0-30) SEATS HIGH RISK,1605 S HOOVER ST #109,LOS ANGELES,CA,90006,34.04350048,-118.2841723,OW0178569,EASTERN RESOURCE INC,1605 S HOOVER ST #109,LOS ANGELES,CA,90006,"(34.0435004849, -118.2841722962)",722.0,2.0,390.0,22723.0
1046,FA0225188,ALDI #9,PR0180515,ALDI #9,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",3330 W CENTURY BLVD,INGLEWOOD,CA,90303,33.94544297,-118.32945910000001,OW0226753,AI CALIFORNIA LLC,12661 ALDI PL,MORENO VALLEY,CA,92555,"(33.9454429676, -118.3294591094)",898.0,2.0,13.0,25423.0
19431,FA0022536,FAIRPLEX MINI MARKET,PR0019467,FAIRPLEX MINI MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2200 N WHITE AVE,POMONA,CA,91768,34.08989854,-117.7629754,OW0020350,LA COUNTY FAIR ASSOCIATION,PO BOX 2250,POMONA,CA,91769,"(34.0898985401, -117.7629754275)",2260.0,1.0,83.0,10130.0
17534,FA0071154,SUBWAY,PR0015184,SUBWAY,1631,RESTAURANT (0-30) SEATS MODERATE RISK,28788 THE OLD RD,VALENCIA,CA,91355,34.44062568,-118.60587849999999,OW0018013,JSG CORP,28788   THE OLD ROAD,VALENCIA,CA,91355,"(34.4406256763, -118.6058785083)",312.0,5.0,264.0,19338.0
36196,FA0044079,PAVILIONS #2739,PR0036232,PAVILIONS DELI # 2739,1632,RESTAURANT (0-30) SEATS HIGH RISK,8969 SANTA&#160;MONICA BLVD,WEST HOLLYWOOD,CA,90069,34.08395034,-118.3864622,OW0038181,THE VONS COMPANIES INC.,PO BOX 29096,PHOENIX,AZ,85038,"(34.0839503437, -118.3864622018)",1341.0,3.0,106.0,24034.0
16539,FA0245291,MERENGUE BAKERY & CAFE,PR0193678,MERENGUE BAKERY & CAFE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,417 S MYRTLE AVE,MONROVIA,CA,91016,34.14745775,-118.0009962,OW0240360,JAMM FOODS INC.,417 S MYRTLE AVE,MONROVIA,CA,91016,"(34.1474577485, -118.0009961641)",1706.0,5.0,73.0,2838.0
15269,FA0240584,CARRY ON FRESH MARKET,PR0188612,CARRY ON FRESH MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",700 WORLD WAY,LOS ANGELES,CA,90045,33.94309645,-118.4010831,OW0016382,HOST INTERNATIONAL INC,345 S DOUGLAS ST,EL SEGUNDO,CA,90245,"(33.9430964466, -118.4010830812)",693.0,4.0,440.0,23676.0
20793,FA0022233,LITTLE CAESARS #5924,PR0014450,LITTLE CAESARS #5924,1631,RESTAURANT (0-30) SEATS MODERATE RISK,171 E HOLT AVE # D-106,POMONA,CA,91767,34.06245789,-117.7484604,OW0021931,"LITTLE CAESAR, INC",2211   WOODWARD AVE,DETROIT,MI,48201,"(34.0624578914, -117.7484603636)",2237.0,1.0,83.0,10128.0
10835,FA0242753,F1 FUELS INC,PR0190935,F1 FUELS INC,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",14525 NORDHOFF ST,PANORAMA CITY,CA,91402-1844,34.23543825,-118.44910929999999,OW0238314,F1 FUELS INC.,14525 NORDHOFF ST,PANORAMA CITY,CA,91402-1844,"(34.2354382476, -118.4491093049)",354.0,3.0,395.0,19730.0
27814,FA0242602,PRESSED JUICERY,PR0190794,PRESSED JUICERY,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1653 S ABBOT KINNEY BLVD # 4,VENICE,CA,90291,33.98932531,-118.46281359999999,OW0028997,PRESSED JUICERY LLC,1550 17TH ST,SANTA&#160;MONICA,CA,90404-3402,"(33.9893253122, -118.4628136499)",623.0,3.0,432.0,25073.0
17032,FA0255888,SZECHWAN INN,PR0205619,SZECHWAN INN,1635,RESTAURANT (31-60) SEATS HIGH RISK,22323 SHERMAN WAY UNIT 18,CANOGA PARK,CA,91303,34.20104747,-118.61289350000001,OW0248725,JINSHEM ENTERPRISE LLC,22323 SHERMAN WAY UNIT 18,CANOGA PARK,CA,91303,"(34.2010474727, -118.612893485)",422.0,3.0,333.0,4278.0
9504,FA0239933,HO MI BING,PR0187938,HO MI BING,1633,RESTAURANT (31-60) SEATS LOW RISK,3300 W 6TH ST # 2,LOS ANGELES,CA,90020,34.0635867,-118.2942374,OW0236124,DOUBLE K N CORP,3300 W 6TH ST # 2,LOS ANGELES,CA,90020,"(34.063586698, -118.2942374213)",1302.0,2.0,381.0,22726.0
