,FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,Location,Census Tracts 2010,2011 Supervisorial District Boundaries (Official),Board Approved Statistical Areas,Zip Codes
20745,FA0067125,MONK'S CHAR-BURGERS,PR0010646,MONK'S CHAR-BURGERS,1638,RESTAURANT (61-150) SEATS HIGH RISK,22726 S VERMONT AVE,TORRANCE,CA,90509,33.819162299999995,-118.2900225,OW0021906,"LIONTOS, NIKOLAOS",22726  S VERMONT AVE,TORRANCE,CA,90509,"(33.8191622959, -118.290022509)",1160.0,2.0,253.0,25716.0
25677,FA0267993,OJI SUSHI,PR0219679,OJI SUSHI,1638,RESTAURANT (61-150) SEATS HIGH RISK,800 1/2 W BEVERLY BLVD,MONTEBELLO,CA,90640-4213,34.01724634,-118.1060261,OW0258465,OJI SUSHI,800 1/2 W BEVERLY BLVD,MONTEBELLO,CA,90640-4213,"(34.0172463378, -118.1060260562)",2191.0,1.0,74.0,25733.0
23269,FA0040238,MERLE NORMAN COSMETICS INC.,PR0005795,MERLE NORMAN COSMETICS INC.,1641,RESTAURANT (151 + ) SEATS HIGH RISK,9130 BELLANCA AVE,LOS ANGELES,CA,90045,33.95325117,-118.380371,OW0024273,MERLE NORMAN COSMETICS INC,9130   BELLANCA AVE,LOS ANGELES,CA,90045,"(33.9532511734, -118.3803709708)",843.0,2.0,440.0,23676.0
34546,FA0249083,TIENDA XOCHIMILCO,PR0197792,TIENDA XOCHIMILCO,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13800 LEFFINGWELL RD STE A,WHITTIER,CA,90604,33.92086198,-118.0373058,OW0243386,SUSANA HERNANDEZ,605 E 6TH ST,CORONA,CA,92878,"(33.9208619842, -118.0373057607)",1866.0,4.0,262.0,25724.0
38265,FA0167711,VILLAGE MINI MART,PR0158092,VILLAGE MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",113 E 5TH ST,LOS ANGELES,CA,90013,34.04649765,-118.2480281,OW0130690,VILLAGE MINI MART INC.,113 E 5TH ST,LOS ANGELES,CA,90013,"(34.046497652, -118.2480280928)",688.0,1.0,343.0,23074.0
24997,FA0164996,JERSEY MIKE'S SUBS,PR0153299,JERSEY MIKE'S SUBS,1631,RESTAURANT (0-30) SEATS MODERATE RISK,14873 TELEGRAPH RD,LA MIRADA,CA,90638,33.91901517,-118.0147249,OW0124110,NISAMEX LLC,7807 TELEGRAPH RD STE K,MONTEBELLO,CA,90640,"(33.9190151714, -118.0147249291)",2135.0,4.0,315.0,25732.0
18063,FA0034776,SUBWAY #26399,PR0047083,SUBWAY #26399,1634,RESTAURANT (31-60) SEATS MODERATE RISK,2112 S GAREY AVE E,POMONA,CA,91766,34.03255522,-117.7487738,OW0018516,KASHAN FOOD INC,2112  S GAREY AVE,POMONA,CA,91766,"(34.0325552204, -117.7487738422)",2269.0,1.0,83.0,10125.0
34792,FA0050147,T. J. MAXX #1064,PR0003891,T. J. MAXX #1064,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1401 HAWTHORNE BLVD,REDONDO BEACH,CA,90278,33.86585109,-118.35353390000002,OW0036006,"T.J. MAXX OF CA, LLC",P.O. BOX 9358,FRAMINGHAM,MA,1701,"(33.8658510922, -118.3535338809)",1173.0,4.0,85.0,25070.0
341,FA0029486,INTERNATIONAL HOUSE OF PANCA,PR0006344,INTERNATIONAL HOUSE OF PANCA,1641,RESTAURANT (151 + ) SEATS HIGH RISK,18677 SOLEDAD CANYON RD,CANYON COUNTRY,CA,91351,34.41609979,-118.46055249999999,OW0001218,783 CO INC,18677   SOLEDAD CYN RD,CANYON COUNTRY,CA,91351,"(34.4160997889, -118.4605524604)",241.0,5.0,90.0,19334.0
29721,FA0266835,SOLANDA OUTLET FOOD,PR0218198,SOLANDA OUTLET FOOD,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4169 E OLYMPIC BLVD,LOS ANGELES,CA,90023-3333,34.0189235,-118.1839031,OW0257527,ROMAN MARIANO MONCAYO,4169 E OLYMPIC BLVD,LOS ANGELES,CA,90023-3333,"(34.0189234971, -118.1839030511)",1981.0,1.0,162.0,23441.0
